Micro_Expression_Rate,Eye_Movement_Variability,Heart_Rate_Variability,Breathing_Rate,Reaction_Time_ms,Error_Rate_Per_Task,Sleep_Hours_Last_Night,Caffeine_Intake_mg,Experience_Level,Time_Of_Day,Task_Type,Subconscious_Stability_Score
12.1,33.9,,14.4,357.8,7.0,6.5,,Beginner,Afternoon,Creative,71.1
15.3,29.6,59.3,13.5,404.3,7.6,7.1,,Intermediate,Morning,Cognitive,74.6
13.5,27.6,69.8,10.7,342.9,2.0,8.1,100.9,Intermediate,Evening,Analytical,83.4
15.7,31.7,51.4,18.2,324.7,3.2,7.2,102.0,Beginner,Afternoon,Creative,73.6
18.5,34.9,62.1,14.3,358.2,5.6,6.0,211.8,Intermediate,Morning,Cognitive,71.7
18.4,30.0,61.4,19.8,381.7,-1.5,5.6,216.3,Beginner,Afternoon,Creative,68.5
20.2,37.3,56.8,16.7,354.4,3.5,8.6,87.3,Beginner,Afternoon,Analytical,69.5
,28.7,51.3,15.0,321.6,5.9,7.7,135.9,Expert,Evening,Creative,75.7
16.0,24.1,29.3,12.8,368.4,3.3,9.1,98.0,Expert,Afternoon,Creative,69.5
13.3,29.9,51.5,18.5,324.8,5.5,8.7,166.1,Expert,Afternoon,Analytical,83.6
13.4,30.6,67.0,15.8,295.6,-0.0,6.6,98.8,Beginner,Morning,Cognitive,79.2
,29.5,46.0,16.8,326.1,4.6,8.5,4.1,Beginner,Evening,Cognitive,73.3
15.0,37.7,48.1,17.8,304.0,3.1,7.5,58.1,Intermediate,Afternoon,Creative,70.6
17.8,34.8,45.7,16.8,315.7,3.5,6.8,182.5,Intermediate,Morning,Creative,69.3
12.1,21.4,62.1,13.5,277.7,2.1,11.0,76.8,Beginner,Morning,Creative,87.4
14.9,39.2,51.1,17.6,370.0,7.2,,167.1,Intermediate,Morning,Creative,79.8
12.3,13.6,72.2,18.5,330.7,4.1,8.0,142.3,Beginner,Evening,Cognitive,83.4
,42.9,67.3,17.1,355.5,4.3,5.7,77.3,Expert,Morning,Analytical,84.2
12.8,28.3,,17.9,344.1,8.1,6.3,110.7,Beginner,Afternoon,Analytical,58.8
12.0,28.9,63.0,18.2,274.9,2.2,6.2,82.5,Intermediate,Morning,Analytical,83.7
12.3,29.6,52.4,14.8,386.2,4.3,8.2,97.2,Beginner,Afternoon,Creative,67.6
17.0,32.3,52.4,14.7,308.7,2.6,7.6,12.9,Intermediate,Afternoon,Creative,84.3
14.6,30.0,67.1,22.7,301.9,2.5,6.5,113.1,Intermediate,Evening,Analytical,83.1
13.3,29.2,69.1,20.0,330.7,4.6,10.1,85.3,Beginner,Afternoon,Cognitive,82.2
16.0,37.9,67.0,15.9,331.7,3.4,6.4,124.6,Expert,Evening,Analytical,73.4
13.3,33.4,55.3,18.0,450.0,8.0,9.8,151.6,Intermediate,Afternoon,Cognitive,75.7
19.5,24.2,56.1,13.2,349.8,7.6,8.8,157.2,Expert,Morning,Creative,83.6
11.1,34.4,50.7,14.2,295.7,3.7,8.0,86.0,Expert,Morning,Analytical,86.4
14.3,33.1,67.7,12.3,414.9,0.9,5.8,81.3,Intermediate,Afternoon,Analytical,74.4
9.4,26.7,40.4,16.9,238.5,3.4,9.4,110.9,Expert,Evening,Creative,79.3
13.6,34.8,38.0,16.9,295.9,6.1,10.0,185.6,Beginner,Evening,Cognitive,65.7
8.3,29.1,40.0,19.3,292.2,2.2,7.4,89.2,Beginner,Morning,Analytical,80.4
18.0,28.7,38.6,15.4,319.8,7.2,,78.9,Beginner,Morning,Analytical,71.6
18.1,28.5,73.6,19.2,337.3,5.2,7.1,,Beginner,Morning,Cognitive,81.7
18.1,15.4,67.9,18.0,341.8,1.7,9.3,150.5,Beginner,Evening,Analytical,66.0
15.1,26.8,48.0,23.4,340.9,2.7,5.6,102.5,Beginner,Evening,Analytical,74.9
11.5,34.3,58.9,21.0,351.5,3.0,8.5,59.7,Expert,Evening,Creative,80.1
11.8,29.9,74.7,20.5,317.0,2.4,3.2,72.2,Beginner,Afternoon,Cognitive,78.1
21.1,22.3,65.0,18.5,384.5,1.7,5.2,160.1,Beginner,Afternoon,Analytical,67.4
20.7,35.8,81.1,13.3,239.4,2.8,5.4,128.6,Intermediate,Afternoon,Analytical,88.5
,28.2,58.9,16.9,192.4,3.2,7.0,79.8,Beginner,Morning,Creative,87.8
12.9,22.7,53.4,22.7,357.0,6.6,5.7,154.5,Expert,Afternoon,Analytical,79.0
20.5,43.2,49.2,17.5,303.4,4.9,,182.1,Beginner,Morning,Creative,68.0
12.2,23.7,60.2,13.5,405.9,5.0,6.7,159.4,Expert,Morning,Analytical,87.4
,35.3,69.4,17.0,372.1,4.7,6.8,,Intermediate,Evening,Creative,76.1
20.4,25.4,61.0,13.0,349.4,2.4,5.3,220.6,Beginner,Evening,Cognitive,54.8
11.7,30.8,56.4,13.4,295.7,6.3,5.0,199.5,Beginner,Afternoon,Cognitive,69.3
18.3,24.6,72.6,17.2,353.8,3.1,5.7,123.8,Expert,Afternoon,Analytical,89.8
,22.6,65.3,18.2,300.2,3.3,8.5,180.6,Intermediate,Afternoon,Analytical,85.6
14.8,33.1,58.9,13.6,323.0,4.8,11.0,159.1,Intermediate,Afternoon,Creative,81.2
11.0,32.4,52.3,14.3,303.7,9.0,9.2,88.0,Intermediate,Evening,Creative,73.6
12.1,36.9,57.5,11.7,333.0,2.9,6.5,216.0,Beginner,Evening,Cognitive,72.0
16.2,29.8,64.7,15.6,651.1,0.7,7.6,435.3,Beginner,Afternoon,Analytical,49.8
,43.3,52.2,10.2,370.0,4.6,7.0,191.9,Beginner,Morning,Creative,66.5
15.5,31.6,,15.1,342.6,5.4,6.8,157.8,Expert,Morning,Cognitive,75.7
17.2,33.4,55.2,16.2,294.5,3.1,7.2,176.7,Intermediate,Afternoon,Cognitive,63.8
,21.8,59.5,10.7,297.6,2.8,7.4,99.9,Beginner,Morning,Creative,79.8
9.4,26.3,73.6,13.0,256.5,1.5,4.4,185.7,Beginner,Evening,Analytical,77.7
20.3,33.1,48.4,15.8,222.4,4.7,6.1,42.6,Beginner,Morning,Cognitive,76.8
21.8,29.5,62.3,15.4,366.6,7.9,6.9,100.4,Beginner,Morning,Creative,66.8
,31.1,,15.5,463.3,7.4,10.6,-60.9,Intermediate,Afternoon,Cognitive,81.3
10.8,25.1,57.7,16.9,259.1,4.6,8.0,144.0,Intermediate,Evening,Analytical,78.9
13.7,30.7,75.4,11.0,342.2,3.2,8.7,181.8,Expert,Morning,Creative,78.7
14.8,30.7,60.8,18.1,283.9,4.8,6.8,219.0,Intermediate,Afternoon,Analytical,74.2
16.1,22.9,50.9,15.0,316.5,3.4,9.2,107.1,Beginner,Afternoon,Analytical,73.0
15.1,33.9,68.9,14.2,255.4,2.7,7.4,133.9,Intermediate,Morning,Cognitive,90.4
16.1,19.8,68.2,10.4,352.5,4.3,8.2,119.1,Intermediate,Afternoon,Analytical,91.6
14.6,31.1,50.0,15.2,324.4,6.6,7.3,228.5,Intermediate,Afternoon,Cognitive,82.4
,40.6,,17.5,345.0,3.6,7.8,139.9,Intermediate,Afternoon,Creative,76.4
13.2,34.1,64.1,16.4,298.6,3.6,6.3,,Intermediate,Evening,Creative,69.3
,34.0,59.7,16.5,332.4,3.5,,194.7,Intermediate,Morning,Cognitive,82.0
12.7,24.6,55.3,15.0,247.2,5.6,6.3,165.2,Intermediate,Morning,Cognitive,81.0
22.7,40.6,70.6,15.8,433.7,5.7,5.6,86.6,Beginner,Evening,Cognitive,55.8
20.9,38.3,54.1,12.7,340.7,1.8,,,Beginner,Afternoon,Analytical,77.0
17.2,24.9,64.2,16.0,405.4,3.6,9.8,125.3,Beginner,Afternoon,Creative,70.7
20.3,27.2,71.7,14.5,306.7,6.2,6.0,125.8,Intermediate,Evening,Creative,75.2
18.2,37.5,56.6,12.6,267.5,3.3,6.7,,Beginner,Morning,Analytical,78.0
15.7,40.8,41.7,18.3,295.4,6.8,7.4,185.0,Intermediate,Afternoon,Cognitive,76.5
9.0,22.4,56.0,11.3,317.8,5.4,5.0,131.0,Expert,Morning,Creative,83.2
14.0,24.0,61.9,17.6,314.2,7.5,4.9,155.2,Beginner,Morning,Analytical,70.5
13.7,29.1,70.0,17.8,413.1,3.4,8.7,221.9,Intermediate,Morning,Cognitive,85.4
10.5,17.0,54.8,14.4,277.2,5.4,7.1,73.4,Intermediate,Evening,Creative,72.2
9.1,30.1,77.2,19.1,289.8,5.5,5.4,-5.0,Beginner,Morning,Cognitive,86.8
17.0,37.1,47.0,14.4,355.7,6.2,6.5,,Beginner,Afternoon,Analytical,77.3
,21.4,61.6,14.2,240.7,4.7,6.2,223.8,Beginner,Evening,Creative,69.9
10.3,30.8,57.6,12.4,318.0,6.2,7.0,120.5,Beginner,Afternoon,Cognitive,68.3
12.0,26.5,73.5,16.0,327.1,2.7,7.3,,Expert,Afternoon,Cognitive,94.7
19.6,39.8,45.3,13.1,341.7,3.9,3.8,89.0,Expert,Afternoon,Cognitive,75.5
11.5,26.6,64.3,13.6,337.4,1.0,9.0,,Intermediate,Morning,Analytical,71.9
15.7,39.1,57.6,15.8,419.4,3.5,7.1,85.8,Expert,Afternoon,Cognitive,81.1
14.2,26.4,75.3,15.9,275.8,2.3,6.0,90.5,Expert,Afternoon,Creative,91.0
17.0,34.6,51.7,19.8,287.8,4.7,8.3,,Beginner,Evening,Creative,64.6
11.6,31.5,64.2,18.8,350.5,6.0,5.4,275.5,Expert,Evening,Cognitive,84.7
15.4,29.2,51.6,17.7,331.3,5.1,6.5,69.4,Intermediate,Evening,Analytical,70.8
15.7,25.3,61.9,15.6,337.6,5.6,5.2,87.8,Expert,Evening,Creative,81.7
15.9,31.9,,14.8,249.7,4.2,8.1,86.5,Expert,Afternoon,Creative,94.2
,27.4,56.1,15.9,429.1,3.7,8.8,215.5,Beginner,Afternoon,Creative,68.8
16.4,25.9,40.1,14.3,342.6,1.7,7.6,165.5,Beginner,Evening,Cognitive,69.2
,38.8,64.1,13.9,240.9,0.2,6.7,104.6,Beginner,Afternoon,Creative,90.8
25.2,33.3,49.2,15.8,350.6,1.0,5.1,89.9,Intermediate,Evening,Cognitive,67.5
12.4,33.9,48.8,13.4,264.8,2.7,6.3,213.8,Expert,Afternoon,Cognitive,80.6
5.7,27.7,44.4,13.5,366.5,5.8,7.3,122.5,Expert,Afternoon,Cognitive,71.7
17.4,28.9,49.4,18.9,254.2,1.5,6.1,117.7,Beginner,Afternoon,Cognitive,73.1
,28.5,65.0,11.9,370.3,2.4,6.3,-9.6,Intermediate,Evening,Cognitive,77.3
19.2,32.0,64.5,12.9,259.0,3.1,5.3,167.7,Intermediate,Morning,Creative,79.2
16.1,33.9,66.6,19.8,271.3,6.6,5.9,119.6,Beginner,Afternoon,Cognitive,81.7
,29.8,49.7,14.8,326.9,3.9,4.8,126.4,Beginner,Afternoon,Cognitive,69.5
19.5,25.2,62.1,20.1,289.4,4.3,7.4,126.2,Beginner,Morning,Cognitive,75.9
20.1,34.6,53.8,12.5,292.3,4.8,7.1,176.4,Expert,Evening,Cognitive,73.6
9.5,30.2,69.5,16.2,243.5,6.8,7.1,-14.0,Beginner,Afternoon,Cognitive,83.6
11.7,21.4,64.3,18.3,303.5,4.2,6.5,48.2,Intermediate,Afternoon,Cognitive,86.2
14.6,17.2,53.4,13.3,364.2,0.5,6.1,237.5,Intermediate,Morning,Creative,68.4
15.4,31.8,70.4,21.0,413.9,4.3,6.6,46.4,Beginner,Afternoon,Cognitive,76.7
14.1,25.0,,14.8,361.4,6.9,6.4,74.2,Expert,Afternoon,Cognitive,92.5
16.7,32.6,46.1,17.5,354.2,5.3,7.2,195.1,Expert,Afternoon,Creative,72.7
19.0,25.3,43.3,14.0,235.6,4.4,9.7,,Beginner,Morning,Creative,70.2
21.9,30.8,46.5,20.5,318.6,4.7,6.7,123.6,Intermediate,Evening,Analytical,68.0
17.3,27.7,76.5,16.9,287.4,0.3,6.1,215.4,Beginner,Afternoon,Creative,79.1
11.6,40.5,,22.3,244.5,0.0,6.6,85.5,Beginner,Afternoon,Creative,81.6
14.4,35.7,78.8,19.5,256.4,5.8,6.3,87.8,Beginner,Afternoon,Cognitive,85.5
14.7,38.1,49.3,18.5,353.4,6.6,6.3,165.6,Intermediate,Afternoon,Analytical,75.5
17.1,30.1,48.3,13.1,292.1,2.7,,129.6,Intermediate,Afternoon,Cognitive,83.2
16.6,34.9,68.8,16.3,246.2,4.4,8.0,181.7,Beginner,Afternoon,Analytical,88.3
23.2,30.5,69.3,15.0,288.2,5.2,8.0,81.3,Beginner,Afternoon,Cognitive,77.6
13.2,38.8,65.6,16.1,334.5,7.3,8.4,132.0,Expert,Afternoon,Creative,86.3
,29.6,66.8,16.4,286.3,3.8,,115.6,Beginner,Afternoon,Creative,77.7
24.4,21.6,52.0,13.3,259.5,5.5,6.5,96.5,Beginner,Morning,Analytical,82.5
12.7,18.0,68.3,15.5,274.0,8.0,4.6,,Intermediate,Afternoon,Cognitive,82.8
15.6,40.0,62.4,15.7,364.2,3.4,10.0,,Expert,Morning,Cognitive,75.3
11.2,32.9,56.3,13.0,216.1,4.1,3.6,87.7,Beginner,Morning,Creative,79.7
15.3,33.3,,18.4,306.6,1.8,6.5,195.2,Intermediate,Evening,Creative,77.8
11.9,38.9,70.6,16.7,314.2,1.9,4.9,154.0,Intermediate,Afternoon,Analytical,85.3
19.2,20.1,63.9,18.4,282.2,5.8,7.6,146.7,Beginner,Afternoon,Creative,69.4
15.6,27.8,38.4,17.5,272.1,6.4,5.6,109.1,Intermediate,Afternoon,Analytical,65.3
11.3,28.6,,10.9,369.2,6.3,8.7,66.5,Beginner,Evening,Analytical,76.0
18.4,34.5,68.1,13.5,369.0,1.9,7.3,133.4,Intermediate,Afternoon,Analytical,79.0
15.7,25.8,,21.0,325.3,3.6,9.3,205.1,Intermediate,Evening,Analytical,70.4
18.8,22.8,61.2,18.4,292.8,5.0,7.2,,Intermediate,Afternoon,Creative,76.7
10.4,22.7,61.1,11.1,325.6,-0.6,8.7,147.2,Beginner,Evening,Analytical,68.8
,36.9,40.2,17.4,340.2,4.9,,92.8,Expert,Evening,Creative,70.0
18.1,25.5,56.0,13.5,314.4,7.8,8.5,,Beginner,Evening,Analytical,65.9
13.3,26.7,56.4,9.7,341.6,6.3,6.8,110.7,Beginner,Morning,Creative,70.1
10.0,33.8,58.4,21.0,302.3,-0.8,7.4,147.0,Beginner,Morning,Analytical,85.3
14.8,25.8,54.7,16.2,162.4,4.8,8.4,110.6,Intermediate,Morning,Creative,97.9
,19.8,66.6,16.7,310.3,4.4,7.6,89.8,Intermediate,Morning,Cognitive,82.0
19.5,20.5,51.9,12.2,354.2,4.5,,25.4,Beginner,Evening,Analytical,60.3
13.3,29.7,69.1,12.5,321.5,4.2,6.3,133.2,Intermediate,Morning,Analytical,84.0
9.9,33.0,66.2,11.2,337.2,3.3,5.4,156.6,Beginner,Morning,Cognitive,73.8
13.3,28.8,73.6,20.3,306.4,-0.7,8.1,123.8,Intermediate,Morning,Cognitive,91.7
13.1,32.6,77.3,11.1,310.4,4.6,6.5,115.6,Beginner,Morning,Analytical,82.9
16.8,20.3,77.4,20.9,328.5,5.3,6.3,209.2,Intermediate,Morning,Creative,81.7
14.6,20.7,48.1,13.0,417.2,2.9,7.3,217.3,Beginner,Evening,Analytical,56.7
12.0,43.5,63.4,12.3,362.1,6.5,6.6,184.3,Expert,Afternoon,Creative,82.5
19.4,37.4,52.8,15.8,355.5,0.7,,,Beginner,Morning,Cognitive,71.1
15.6,34.6,92.8,13.9,330.2,0.5,8.2,125.8,Beginner,Afternoon,Creative,81.7
16.7,26.0,66.1,16.3,253.4,4.2,8.1,56.8,Beginner,Afternoon,Analytical,83.2
8.1,28.6,74.2,13.4,381.3,2.6,6.4,5.6,Expert,Morning,Cognitive,95.9
5.3,30.0,64.4,15.1,365.4,5.9,8.1,202.3,Expert,Afternoon,Cognitive,83.8
9.2,37.9,33.6,13.7,338.3,3.1,7.8,126.8,Beginner,Afternoon,Analytical,77.3
13.1,32.4,,18.6,317.8,6.7,5.2,323.5,Intermediate,Afternoon,Analytical,69.0
17.3,33.2,53.1,17.5,347.3,2.6,6.6,85.0,Expert,Afternoon,Cognitive,80.9
5.6,29.0,56.1,16.7,308.4,4.3,6.7,145.6,Intermediate,Morning,Creative,83.6
21.4,34.8,63.6,19.2,356.4,0.0,9.2,181.3,Intermediate,Evening,Creative,65.3
15.7,31.8,65.0,16.8,278.1,3.9,6.4,80.8,Beginner,Evening,Creative,71.9
20.4,30.3,33.7,16.5,224.5,4.1,7.7,103.8,Beginner,Evening,Analytical,72.6
,25.5,57.6,15.6,259.9,6.4,9.0,108.3,Expert,Morning,Cognitive,90.9
,29.3,55.1,13.9,327.1,1.0,5.6,95.6,Expert,Evening,Creative,79.1
15.3,23.5,,13.9,304.9,3.4,7.4,143.9,Intermediate,Evening,Cognitive,74.3
18.3,29.8,,16.4,312.6,6.9,10.0,123.3,Beginner,Evening,Creative,70.8
14.1,30.5,58.2,19.1,255.2,7.2,4.6,-2.2,Beginner,Morning,Cognitive,74.2
,15.6,62.2,17.7,335.1,2.3,6.1,126.6,Intermediate,Afternoon,Analytical,76.4
19.4,28.6,,17.7,268.2,2.6,7.4,142.4,Expert,Evening,Analytical,75.1
12.4,22.9,,12.7,344.8,0.6,,117.6,Expert,Afternoon,Analytical,97.2
16.0,33.0,56.0,17.6,249.3,-0.2,7.2,218.8,Intermediate,Afternoon,Creative,79.0
7.4,33.8,51.9,14.8,278.1,3.2,7.8,140.9,Intermediate,Evening,Analytical,82.1
17.8,27.4,73.1,16.5,271.3,2.7,,121.4,Beginner,Afternoon,Analytical,80.5
22.8,33.3,62.7,17.7,348.7,8.1,7.1,174.6,Beginner,Afternoon,Analytical,71.6
10.0,33.5,53.3,12.5,296.9,4.7,6.9,256.0,Expert,Afternoon,Cognitive,76.4
14.6,28.6,54.0,16.5,341.2,3.6,7.9,111.4,Intermediate,Evening,Cognitive,69.7
,39.2,63.7,16.7,377.0,5.3,10.0,183.2,Beginner,Morning,Cognitive,75.4
15.1,25.6,62.9,19.0,409.0,6.1,7.9,230.3,Beginner,Afternoon,Cognitive,65.6
15.7,38.8,,14.4,331.6,6.4,8.6,106.2,Intermediate,Afternoon,Cognitive,82.5
13.4,28.6,48.0,15.8,264.9,4.5,4.6,49.6,Beginner,Evening,Cognitive,60.0
13.3,24.9,49.4,16.5,382.6,4.0,6.7,146.3,Beginner,Afternoon,Cognitive,65.1
14.7,27.9,52.5,14.4,395.6,4.3,5.2,200.8,Intermediate,Evening,Analytical,76.6
15.2,23.4,58.0,14.4,317.0,3.9,7.0,102.9,Intermediate,Evening,Analytical,87.9
10.3,34.7,59.6,14.3,385.9,2.9,9.1,185.7,Intermediate,Morning,Creative,78.7
14.7,20.4,58.4,15.6,336.7,6.1,5.1,68.4,Beginner,Afternoon,Analytical,71.7
21.3,38.3,58.9,21.2,237.0,3.6,9.6,105.2,Intermediate,Morning,Cognitive,87.7
13.3,24.4,78.8,15.7,288.4,2.0,7.0,,Beginner,Morning,Cognitive,85.9
10.1,35.0,68.5,17.5,294.7,4.0,,111.6,Beginner,Afternoon,Creative,75.2
14.4,30.1,71.9,16.1,301.8,5.4,8.5,68.4,Intermediate,Evening,Analytical,86.2
12.1,31.6,64.6,15.1,273.3,1.1,10.0,99.9,Intermediate,Evening,Analytical,83.5
9.6,26.5,,15.9,271.8,3.5,,2.0,Expert,Morning,Creative,95.5
15.6,32.1,64.1,18.3,387.3,2.4,5.7,161.6,Intermediate,Morning,Cognitive,83.4
12.2,30.8,62.3,15.8,233.2,8.4,,122.2,Intermediate,Afternoon,Cognitive,82.0
12.5,21.3,68.1,15.5,283.8,4.2,3.0,189.0,Beginner,Afternoon,Cognitive,72.0
15.6,24.2,50.2,15.3,351.1,7.1,5.6,114.6,Beginner,Morning,Cognitive,72.2
8.9,26.8,67.2,13.0,292.1,4.5,6.1,12.1,Beginner,Evening,Creative,84.4
8.0,25.5,61.7,19.1,340.0,4.7,3.8,139.1,Beginner,Evening,Analytical,77.3
17.7,37.5,41.9,14.7,299.9,3.9,9.5,80.3,Expert,Afternoon,Cognitive,73.1
7.3,30.0,60.9,20.4,341.9,3.6,9.0,,Beginner,Evening,Analytical,70.4
11.1,25.3,46.9,16.7,268.1,3.9,7.7,107.3,Expert,Afternoon,Analytical,87.8
7.8,27.1,54.7,20.2,227.1,2.7,8.5,240.9,Intermediate,Afternoon,Cognitive,82.4
13.1,27.0,58.4,15.4,299.9,4.0,7.5,66.3,Intermediate,Afternoon,Cognitive,86.3
16.7,28.3,44.9,13.8,230.6,0.8,8.3,,Intermediate,Morning,Cognitive,80.0
15.4,23.5,59.5,19.1,316.7,4.3,,155.9,Intermediate,Evening,Analytical,84.2
24.6,25.1,60.7,14.3,263.2,1.6,4.8,100.2,Intermediate,Afternoon,Creative,73.8
19.3,34.6,67.6,19.9,263.8,4.2,8.4,40.0,Beginner,Afternoon,Cognitive,79.6
,31.1,55.5,17.7,393.6,4.6,8.7,108.0,Intermediate,Afternoon,Analytical,70.8
10.2,29.1,62.7,20.4,333.7,6.8,6.1,10.9,Beginner,Morning,Analytical,70.9
25.8,30.0,59.0,13.1,243.2,4.6,6.7,78.1,Beginner,Morning,Cognitive,86.1
19.3,29.7,,18.9,317.6,3.5,5.8,109.3,Intermediate,Afternoon,Creative,78.8
17.4,28.7,43.3,13.8,312.9,2.7,7.5,180.1,Beginner,Afternoon,Cognitive,74.2
15.3,33.1,58.9,8.8,216.6,5.4,7.6,136.8,Expert,Morning,Cognitive,83.6
16.1,32.7,67.4,18.7,337.4,3.8,7.3,95.8,Expert,Afternoon,Creative,87.5
9.1,20.6,50.7,16.0,367.6,2.5,5.9,92.1,Expert,Afternoon,Cognitive,91.5
15.6,29.2,57.8,18.9,298.9,4.3,9.1,,Beginner,Afternoon,Cognitive,77.7
15.3,21.0,59.3,16.3,305.4,0.3,6.1,175.2,Beginner,Afternoon,Creative,78.9
11.4,33.8,71.0,16.1,292.1,4.2,7.8,30.9,Expert,Evening,Analytical,97.9
12.8,34.6,60.3,20.5,339.3,2.4,,69.2,Intermediate,Afternoon,Analytical,81.1
21.1,26.3,62.9,16.4,307.5,3.3,4.4,30.6,Expert,Afternoon,Analytical,88.8
14.5,29.3,59.9,14.6,309.5,8.0,7.5,155.1,Expert,Morning,Analytical,92.5
23.3,17.3,55.1,15.7,279.5,3.0,8.9,210.9,Expert,Morning,Analytical,84.1
8.0,35.8,48.7,16.5,422.1,5.6,,154.4,Beginner,Morning,Cognitive,59.7
12.9,34.3,57.1,7.5,307.0,6.1,8.3,158.8,Beginner,Afternoon,Creative,76.6
8.8,36.9,63.9,17.5,355.0,5.7,6.0,,Expert,Morning,Analytical,85.5
10.2,38.9,61.2,20.1,333.3,4.7,8.6,149.3,Beginner,Morning,Creative,77.2
11.7,22.7,,15.9,192.0,1.8,5.3,74.9,Beginner,Evening,Analytical,84.8
16.3,35.3,69.5,14.7,301.5,2.7,7.0,85.5,Intermediate,Morning,Cognitive,83.8
16.1,38.9,72.4,17.2,262.4,1.7,8.9,117.7,Expert,Morning,Analytical,99.6
12.3,21.0,39.7,21.2,368.8,3.3,8.8,122.5,Intermediate,Morning,Analytical,75.3
6.1,29.0,75.8,17.4,256.7,3.3,5.1,227.5,Intermediate,Evening,Creative,88.5
,27.8,62.7,16.6,344.7,2.2,6.7,172.0,Beginner,Morning,Creative,67.6
13.9,35.1,,14.8,369.8,5.1,6.1,126.9,Intermediate,Afternoon,Cognitive,81.5
10.5,15.6,69.0,12.8,334.0,3.0,8.8,222.6,Expert,Afternoon,Creative,82.0
,40.9,60.2,16.1,320.2,3.3,6.9,264.2,Beginner,Afternoon,Creative,69.0
15.8,29.3,49.3,16.1,300.2,0.9,7.2,121.2,Intermediate,Afternoon,Creative,76.1
13.7,35.5,74.5,10.2,473.7,4.1,7.7,273.7,Expert,Evening,Cognitive,84.1
15.6,29.6,52.3,13.8,253.0,3.8,5.2,45.7,Intermediate,Morning,Cognitive,76.8
10.4,33.0,50.1,19.5,328.9,2.8,7.4,129.9,Intermediate,Morning,Cognitive,77.7
18.0,16.1,,15.2,372.6,4.8,5.5,79.3,Intermediate,Morning,Creative,77.2
11.0,27.7,,8.6,276.4,4.2,6.3,6.8,Beginner,Morning,Creative,79.4
12.6,35.1,60.0,20.8,320.9,5.2,6.3,179.4,Beginner,Morning,Cognitive,79.1
17.6,31.7,59.0,13.3,314.8,5.3,7.7,126.4,Expert,Morning,Creative,79.4
19.8,20.2,73.5,14.6,335.6,5.4,5.8,67.9,Expert,Afternoon,Creative,90.8
21.3,30.4,64.6,19.2,293.2,7.3,6.3,10.4,Expert,Afternoon,Analytical,84.2
19.2,25.1,51.4,13.8,244.6,4.3,7.5,83.5,Expert,Afternoon,Cognitive,83.9
